Bigram,spanish,portugese
"s,6070,5147
° ,2,1
¿t,2996,1
xw,2,2
d’,1,8
iǎ,9,1
'c,5,12
​h,2,1
oí,1260,169
ισ,1,2
á ,1,3
úp,379,324
ос,1,2
9",3,1
"─,4,1
8+,1,2
 7,125,129
“i,5,7
po,51635,62959
ác,1617,1231
0:,11,6
:¿,2,1
 /,1,2
 f,35301,84254
ōu,2,1
+9,1,2
dy,83,54
ád,37,317
–n,7,1
s$,1,7
d»,2,1
マリ,2,1
97,56,59
kl,39,21
5x,2,1
p-,5,3
ор,1,3
wa,294,244
me,68000,84432
pê,1,73
c1,4,5
e:,116,374
i ,1,7
oc,21556,51995
sn,240,170
b5,3,3
úñ,7,1
 é,2,2
1h,2,4
z’,2,1
= ,1,3
¡i,56,1
6:,10,16
le,57360,53934
zō,1,2
cœ,2,1
d),1,6
ad,73093,63221
pq,1,3
4h,1,14
2:,72,89
hu,4156,3824
a»,23,2
‘a,3,1
0s,2,1
í),2,1
õs,1,2
'_,1,2
'-,1,4
)t,1,3
ío,2707,166
fô,1,93
"t,5878,6354
jø,1,2
o¡,4,1
/b,1,3
“r,1,6
d/,4,3
i:,4,31
; ,1,2
o–,7,1
b2,3,2
​s,2,3
–p,6,1
"ê,1,3
hk,6,4
ră,1,2
4/,1,2
éj,462,3
hq,2,3
(`,1,2
 #,2,5
“c,8,6
#2,2,1
fa,9342,34669
z",16,9
ao,392,8431
/a,7,4
0$,5,1
ür,4,2
“ ,1,2
/w,2,2
 –,1,2
4g,1,4
8x,2,2
38,10,13
—q,3,1
b:,3,1
7@,2,1
-k,6,6
♗b,3,3
jr,6,3
mú,1172,1155
c6,4,6
tv,49,262
ós,508,7613
c7,2,2
 j,10410,15765
»«,5,1
dt,12,7
/ ,1,2
3/,1,3
í’,3,1
áo,2,1
–5,1,2
-;,1,2
…v,1,2
“g,3,6
？e,1,2
/s,1,7
s–,3,1
« ,3,1
gh,52,26
eé,144,2
+2,2,1
 ü,2,1
ἀρ,1,2
ŭi,1,3
x5,2,1
(#,2,1
zn,64,3
ŝi,1,3
ws,21,32
x7,2,1
aš,2,1
03,16,41
ct,8482,768
óa,2,3
'j,1,3
r–,2,1
0€,2,1
u),2,3
cm,14,11
($,1,3
nº,2,8
—p,23,2
zé,3,63
rp,1781,1522
od,22141,22013
k),2,3
ôn,1,1499
üh,1,2
ˈs,2,1
ùt,2,1
fá,1243,1082
ta,101707,92341
82,13,16
–¿,5,1
1+,1,2
ל ,3,1
z”,1,2
êr,1,4
cv,4,2
rj,271,69
ág,678,2367
“l,3,9
45,33,42
o\,1,2
íz,93,106
s:,335,363
37,9,20
í-,1,23
zb,10,7
"6,1,2
μ ,5,1
"ˈ,2,1
eñ,4302,2
zy,7,5
pz,3,2
lö,1,2
hn,688,502
aç,2,11587
sç,1,30
em,32756,90388
bv,147,157
»a,3,1
/0,1,2
iù,1,2
$7,1,2
/n,1,2
ly,124,110
o-,72,1656
mí,3534,1214
še,2,1
új,33,1
94,35,58
тe,2,1
có,4627,630
15,111,161
x ,106,111
js,2,3
7ª,1,2
--,12,15
ka,658,419
g:,2,1
9 ,97,111
4·,2,2
+',1,3
l',4,7
ín,1806,2817
)v,1,2
iw,31,16
mq,2,2
"q,857,3756
«t,33,1
êu,1,17
де,2,1
3x,2,3
wf,2,4
e),8,24
i),2,6
”y,1,2
¡u,88,1
 l,2,2
(-,1,2
l—,2,2
ei,2399,51198
zá,363,38
—¡,36,1
s¡,2,1
zc,1311,7
80,68,61
gô,1,7
la,134752,52323
mm,90,67
¿f,85,1
ái,980,9
>j,2,1
"¨,2,1
“ŝ,1,2
ti,45736,34670
n—,5,1
ée,50,1
 г,1,3
gâ,1,62
ló,1868,900
ñí,336,1
rę,4,3
δh,1,3
j",5,3
r:,54,95
♘c,3,3
ア、,2,1
–4,1,2
οη,1,2
o7,2,1
t+,3,2
gc,3,1
i-,22,1062
r$,14,32
āk,1,2
"j,282,609
»r,2,1
cp,3,10
z»,2,1
 p,2,10
-ω,1,2
d1,4,6
ú:,1,8
1°,1,2
\",1,3
) ,115,219
m ,22524,169194
ek,89,24
nn,798,321
“ê,1,2
ēr,1,2
in,49690,66439
ál,1866,1564
rô,1,301
‎i,1,2
b6,4,4
:t,2,1
xq,28,1
qr,1,5
vâ,1,16
g),3,3
áx,88,402
rz,1222,69
pο,1,2
6d,1,2
re,96502,94308
20,408,693
s),31,78
áu,31,112
̉¿,2,1
4",4,2
¨n,2,1
"&,2,2
'/,1,2
>>,4,2
uá,4357,139
s ,7,16
ḥl,2,1
9p,2,1
eĺ,2,1
yz,5,4
ūd,2,1
oç,1,1180
–9,2,1
é ,2,2
 đ,2,1
$8,1,2
¡y,178,1
-c,37,417
tc,70,152
íñ,6,1
ny,157,113
ry,8135,6331
ul,9658,12496
of,3239,3931
't,8,9
 h,66344,18159
a;,195,321
ên,3,4172
ma,61376,94856
 u,1,2
d",32,9
+0,2,2
(g,5,10
ãe,2,2137
e',8,11
«j,2,1
o:,344,363
n],1,2
ld,1441,1111
rê,3,2494
&',2,3
–s,7,1
ün,2,1
ôs,1,329
bu,8508,2638
šo,1,2
no,94431,46754
s​,1,2
 +,12,7
dé,1942,259
'7,3,1
ék,1,2
—v,5,1
-3,4,6
g4,4,5
rh,32,4
ue,129774,108020
ui,26762,34265
vo,18073,65223
tw,97,87
 ‘,12,4
9º,1,5
nĝ,1,4
 ÷,2,1
aa,99,238
8:,19,7
e ,6,12
a8,4,3
6ª,1,2
zr,4,1
wi,287,151
c/,2,1
-z,4,7
xp,2042,2114
é",8,4
bä,1,4
{1,1,2
dê,1,1299
o@,2,1
mr,12,6
éq,5,12
pt,1839,510
–d,6,1
"[,1,2
mä,1,2
li,26711,25206
dc,11,38
'¡,2,1
ō",2,1
mǐ,2,1
iĝ,1,2
êl,1,2
iu,1676,6657
yj,2,3
`t,2,1
y—,2,1
☭ ,2,1
bk,3,2
"f,377,1174
»e,25,1
zô,1,25
am,39725,61640
73,9,8
gu,27853,26856
¿b,48,1
hö,2,1
n-,16,19
m",25,56
1',3,1
hâ,1,2
h7,1,2
 h,1,2
e2,2,3
gl,3210,2245
 &,3,3
á;,9,9
 j,1,2
x',1,3
-‘,2,1
₫",2,1
=',1,2
ri,37093,58393
 з,1,2
êh,1,2
gf,3,2
нн,1,2
8a,2,1
rb,1800,1028
zt,63,4
jb,25,11
ú»,2,1
 √,2,1
_e,1,2
98,66,58
aś,2,1
á»,2,1
fm,2,7
 z,1405,854
bo,10260,15027
‘s,6,1
 ŝ,1,2
b7,3,3
2p,2,1
éc,542,775
0%,48,52
4+,2,1
79,10,15
zê,1,306
(+,3,1
신»,2,1
'”,1,2
(k,4,4
o«,2,1
(=,1,11
y-,6,4
sz,9,11
xm,6,1
wy,1,6
’ ,10,3
¨e,2,1
e(,2,6
00,811,821
__,12,1
pu,22953,3659
gv,3,2
3º,1,3
uf,1312,764
¿m,891,1
 g,1,2
 t,103134,110726
 v,50058,74205
a”,7,41
bd,78,65
2x,2,4
26,28,36
55,8,15
”f,1,2
/',1,2
"ú,29,4
мя,1,2
kn,5,4
wo,36,39
-“,1,2
v/,1,2
af,3142,3087
'u,4,1
ãt,1,2
 №,2,1
é ,24192,46900
+8,1,2
aú,1083,415
pa,53577,59402
go,22022,29909
"à,1,182
”u,1,2
us,24453,17512
ré,6068,878
gw,9,5
·2,2,2
אַ,2,1
1:,7,8
mc,24,27
"p,3800,4987
ãs,1,526
 [,5,10
p3,11,11
аc,1,2
bó,621,66
iņ,1,2
hs,5,12
x-,29,72
16,68,101
np,11,15
 ¨,3,1
xd,2,2
3%,4,3
(´,1,2
s9,1,2
vi,31099,27858
(¿,3,1
e5,10,10
gú,1741,18
rè,2,2
‎a,1,2
4o,2,1
₂ ,2,2
​n,2,1
04,15,19
22,38,69
+3,4,2
pk,3,4
hz,1,3
bx,1,2
u»,2,1
lô,2,262
»c,6,1
—i,3,1
59,8,12
¡p,502,1
d:,16,1
 ê,1,42
âg,1,3
9%,5,3
リア,2,1
зд,2,1
lg,8890,8792
–q,2,1
[i,1,2
ōe,2,1
gö,1,3
(',1,3
-ó,1,2
”o,1,6
r¿,4,1
hi,11128,3106
ас,1,2
//,6,3
z),2,6
vt,6,1
yd,13,12
uñ,512,1
(a,11,40
nq,1237,1655
-4,4,4
’»,2,1
 b,1,2
το,1,3
hd,4,22
"π,2,2
tk,1,3
¿z,3,1
f4,3,3
íj,37,1
":,6,4
ln,59,42
ke,624,423
t”,6,7
»i,2,1
e ,331592,325405
ær,2,1
r”,2,12
ur,15289,13961
”s,1,2
xâ,1,2
υμ,1,2
 <,6,6
ôp,1,3
hú,153,118
-5,4,8
y',5,4
ñu,76,1
r],2,1
"<,1,2
ć",1,2
'g,5,3
30,269,390
て言,2,1
(7,1,2
pe,41463,46410
$3,8,4
"",11005,14563
¡9,2,1
ní,2844,596
yb,6,5
”d,1,3
mo,44036,51014
–r,3,1
…),3,3
8º,2,3
a¿,4,1
‘b,2,2
et,13822,14262
h4,2,11
sp,15736,14133
ck,408,339
óg,418,786
 á,1572,3285
cç,1,112
üc,2,1
ū",1,3
—l,7,1
añ,11899,2
gõ,1,18
á),1,5
"­,2,1
kê,1,6
n ,2,1
çe,1,4
-¡,6,1
nh,166,45731
¿d,2513,1
eâ,1,5
e4,8,9
u-,12,1632
aé,70,35
àn,2,2
gs,21,21
mk,3,8
13,65,160
iè,4,13
vê,1,1091
b—,9,1
¨¿,2,1
eí,1576,129
bb,61,76
»z,2,1
 δ,1,3
cu,34422,14026
vn,42,37
ié,4993,61
bi,18000,6943
"n,5450,6337
" ,756,811
cg,3,2
¡q,979,1
86,20,27
"€,2,1
üé,16,1
ων,1,2
@t,2,1
s…,3,3
ã ,1,1793
”r,1,2
62,13,18
ẽ ,1,3
rk,309,267
m@,2,1
bc,28,46
yk,2,3
tа,1,2
ãn,2,5
só,3060,3104
ír,1075,691
pü,6,4
tp,12,20
í–,2,1
ôv,1,10
md,2,3
2π,1,7
7s,1,2
gm,100,96
äu,1,4
9-,3,3
oã,5,532
k»,2,1
d;,31,2
úz,5,48
ät,2,2
”n,1,2
01,127,275
oj,3876,4385
a',20,17
c',1,5
¿v,1265,1
h ,285,213
(b,5,3
nö,3,1
r@,1,2
n",88,26
ít,1012,778
ks,105,133
d5,4,4
a—,27,2
öc,1,2
)d,2,1
18,134,194
né,1396,333
"z,21,31
kj,1,2
v ,81,163
—t,3,1
ut,6418,10705
xn,4,1
4 ,169,178
é(,2,1
:0,43,24
]6,1,2
9ª,1,2
#3,1,2
"(,4,2
ub,3902,2781
dr,10206,3080
wá,47,1
ww,8,3
то,1,2
"т,1,2
εl,1,2
gp,8,8
ся,1,2
"¿,5798,1
€ ,3,1
fē,5,1
ó:,73,20
5 ,301,339
ls,1090,962
e3,2,2
ô",1,4
83,15,13
gr,12398,9973
¡ó,3,1
(n,2,16
во,1,3
br,21832,16828
»v,3,1
kf,4,7
ož,2,1
/ ,13,2536
za,11405,5270
ón,23072,78
uí,4880,1510
(h,3,7
5 ,1,3
bô,1,66
ĺ ,2,1
6º,2,1
aá,8,1
λη,1,2
n:,105,5
”q,1,6
ez,9709,10935
0e,2,1
ó-,2,5
k:,3,1
на,1,2
л],1,3
ba,31144,15849
):,1,2
lz,212,36
tx,3,3
èt,2,2
93,31,35
cx,1,3
zm,103,227
se,64400,97165
69,14,24
ük,6,4
0 ,1,2
ap,12733,15290
"–,12,1
77,22,28
=1,2,1
"и,1,3
ĝi,1,6
qd,1,2
sh,639,507
— ,92,336
 ¿,3384,1
-r,12,87
31,18,29
bn,9,10
¿k,12,1
"y,1294,22
7),2,1
ög,1,2
tn,58,81
‎f,1,2
たの,2,1
5g,2,2
 ´,2,2
x;,1,2
cn,279,203
3),3,5
0c,1,2
üb,2,2
té,2872,3259
çó,1,26
nl,315,236
"\,1,2
sm,3861,5583
uâ,1,39
¡e,1079,1
ŝ",2,2
úc,305,331
¿ ,8,1
uh,18,13
c;,2,3
o…,2,4
->,2,1
го,1,3
40,97,104
l5,1,2
án,9351,12
:e,1,2
c8,2,3
é/,1,2
va,18767,35283
< ,1,6
o(,3,7
sc,15102,17220
3",2,2
ai,2301,39767
”t,1,5
p',4,1
es,222854,171530
m ,2,12
yá,52,1
tõ,1,173
"ã,1,2
fõ,1,4
¿q,6507,1
÷ ,2,1
jl,7,1
øi,3,1
n»,8,1
 a,145630,170988
io,27588,26386
я",1,3
a4,1,2
48,18,21
h-,4,3
ax,377,393
’”,1,2
öl,2,5
eɣ,2,1
hõ,1,251
/e,2,22
vó,467,821
ym,11,16
áh,20,1
ro,69739,58823
“n,4,29
-n,26,804
it,20446,40085
f8,2,3
uč,2,1
z(,1,2
lí,4105,3112
 2,759,1165
«a,31,2
e¿,5,1
úe,35,4
gk,3,3
m…,1,2
–l,4,1
î",1,2
2/,2,2
i',1,6
 ',73,119
зе,1,2
“a,5,29
ir,25427,39863
eá,88,24
·1,2,2
2c,4,2
mn,500,35
wd,3,2
gã,1,157
á-,1,2316
ab,50275,21650
l/,1,2
ci,59635,36483
 3,355,401
so,47206,59654
iç,1,2353
5n,3,1
«v,13,1
úm,761,834
tf,3,16
wc,1,8
sê,1,155
a_,1,2
te,107123,123588
fj,2,3
—g,4,1
a6,3,3
v-,3,1
zk,2,6
ку,1,3
dg,22,20
op,6622,4507
s²,1,4
ey,1488,114
hø,3,1
x),1,3
'y,6,1
xu,151,168
fê,1,41
jd,5,6
ăo,1,3
áz,38,6
a>,3,1
nw,3,2
2i,1,3
6 ,125,144
“h,3,3
p ,75,107
«y,25,1
'm,3,10
'i,5,5
kp,4,4
-b,18,77
0k,2,2
9;,2,1
2 ,152,181
bí,4444,190
bá,204,136
uy,7772,20
ú;,2,2
<c,2,2
ìd,1,2
/d,4,1
jô,1,3
‒ ,1,2
r8,1,2
nê,1,623
ŝa,2,1
yp,16,41
+r,2,2
yl,146,522
nd,47706,58522
fr,7752,8506
vã,2,1001
sô,1,27
eu,1563,80585
aw,128,53
êi,1,8
dz,2,4
z ,1,2
rg,4275,5825
—r,11,1
¡w,5,1
ff,57,59
wb,5,4
kg,5,11
 c,136253,143837
eg,18863,16650
… ,4,5
vc,2,4
 m,2,4
​i,2,1
¡t,502,1
“ĉ,1,2
 6,160,158
64,22,25
何て,2,1
7º,1,3
2g,1,2
<a,2,1
cé,2296,854
(3,2,5
oï,2,1
tá,18668,21121
sg,554,328
yv,3,2
ie,77236,4262
ро,1,3
_ ,1,4
9+,1,2
aõ,1,3
a",308,276
ºc,9,6
·k,1,2
fb,14,18
rc,5842,4154
íu,1,2
s”,10,31
lé,2908,800
dó,4661,573
o—,13,3
și,2,1
ǎo,9,1
—m,10,2
’a,1,5
(6,2,2
ôd,1,216
mu,22836,22020
"u,986,799
lp,1475,1464
wk,6,2
 ),8,1
34,15,17
­e,2,1
jõ,1,6
āo,1,9
úf,10,7
 ú,2301,2157
ʻi,3,1
c5,3,2
łg,2,1
dı,1,2
 r,2,3
èr,3,15
aɣ,2,1
m),1,6
oê,1,5
сo,2,1
pç,1,190
ev,12106,16487
»¿,20,1
d ,8667,297
"ἀ,1,2
"ĉ,1,6
tm,175,178
fp,2,1
al,66063,58065
ã-,1,33
2y,2,1
m;,4,69
сь,1,2
5:,9,4
a ,340730,332865
í",23,3
és,8084,1678
7;,3,2
eã,3,255
:4,8,5
ał,3,3
лё,1,2
 ¿,2,1
s—,5,2
çõ,1,2137
​​,9,14
3 ,173,196
уп,1,3
; ,1029,1626
)),1,2
"e,11054,16003
h),2,2
kt,9,5
bh,5,4
g;,2,1
id,37417,32333
«f,2,1
ï ,2,2
à ,2,6132
─n,2,1
a/,5,5
eõ,1,77
пи,1,3
ţe,2,1
a’,4,3
õr,2,1
―s,3,1
há,357,5352
d2,2,2
τe,1,2
52,12,10
8p,1,2
2h,1,55
yu,3394,66
pł,1,2
yā,2,1
οr,1,2
:o,1,3
k;,1,2
”é,1,3
ç ,2,1
u",14,33
öt,2,1
ew,49,62
aș,2,1
"g,323,507
ix,86,6837
"1,6,8
b”,1,3
g',1,2
t»,2,1
ne,39682,17330
é:,28,36
-s,54,4105
jö,4,8
tó,5272,2399
c4,2,2
ìl,2,1
á/,1,2
(f,2,12
 ×,1,2
yé,25,1
ǐn,2,1
о",1,2
yś,2,1
72,15,15
dp,2,8
 o,1,7
de,159068,156629
% ,95,86
n',10,5
x",3,3
üd,2,2
uė,2,1
pô,1,685
íf,527,323
“b,2,9
"w,16,13
 e,221075,173361
mе,1,2
ak,374,230
th,288,341
a？,1,2
b+,2,1
êt,1,2
iß,1,2
pâ,1,72
0–,1,2
"8,1,4
¡ ,3,1
të,1,3
pú,452,343
ân,1,1939
ør,1,3
g3,2,2
)",7,9
':,1,2
ó;,8,5
yh,2,3
 í,134,316
 1,1208,1489
“t,2,19
fú,349,50
o₂,3,2
¡l,294,1
om,63563,104743
p”,1,2
я],1,2
+5,2,2
:-,2,3
√3,3,1
‎q,1,2
r",93,107
 b,28585,31560
og,3857,6368
³ ,1,3
‘d,2,1
nó,1624,6378
üi,55,2
-í,1,38
d6,5,6
€3,1,3
"—,59,16
fl,1908,1972
sd,1530,729
5h,1,11
rí,17941,1961
/q,1,2
'd,8,14
e…,1,3
m-,6,1507
ê-,1,1535
j ,322,21
í ,8514,440
·3,2,2
zp,15,3
âm,1,509
 μ,6,1
​q,1,2
"7,1,3
28,28,40
d-,22,24
87,19,34
0°,3,4
yó,848,1
'n,6,12
st,107387,107231
♘f,3,3
—a,5,2
sâ,1,15
7:,12,6
¿5,4,1
ju,6085,6535
"a,4071,7638
¡í,2,1
 к,1,3
[q,1,2
r(,1,2
hh,17,7
” ,23,83
«허,2,1
h3,1,85
ãq,1,2
rx,10,7
-9,3,2
ù ,1,3
aó,95,161
«o,9,1
à",1,3
>",2,2
c),2,5
zz,208,221
óz,1,3
iô,1,10
do,98965,111794
8–,1,2
 “,47,275
oe,1193,2696
33,21,21
by,72,64
o»,24,2
vg,5,3
qi,7,26
üt,3,3
ã",1,8
' ,36,74
+4,4,1
l”,1,13
l’,1,4
66,7,10
(v,6,7
t ,578,407
 □,1,4
o2,4,2
ki,967,338
pó,1353,811
çú,1,243
0 ,1024,1095
¿¡,8,1
íg,531,244
–g,3,1
1ª,1,6
s ,253170,203261
„s,2,1
he,15995,19456
ַל,3,1
ço,5,5882
«s,56,1
&t,2,2
bé,1309,2048
dú,33,357
pp,92,244
 q,4,8
ms,72,91
lü,4,5
”:,1,2
 é,5877,40667
dm,640,573
¡r,91,2
-0,6,6
3h,1,5
78,10,20
 š,2,1
»t,14,1
08,15,16
oż,2,1
«h,16,1
ow,162,291
ήσ,1,2
w ,32,85
nú,976,925
tâ,1,591
qp,1,2
 ​,9,14
üí,45,2
 „,2,1
bõ,1,4
+ ,11,10
44,15,21
(é,3,3
iā,2,2
ps,254,197
0j,1,2
vp,2,2
"r,329,356
jm,4,1
f',1,3
v),1,5
a⨯,1,2
bã,1,75
1/,2,6
ún,4097,1180
ex,7860,8024
ри,1,3
50,199,200
4-,4,6
f(,1,3
¡s,496,1
àb,2,1
ox,326,553
—¿,25,1
-a,31,514
q ,6,8
ia,31124,60564
eó,627,69
n8,2,1
jn,1,2
z;,11,22
sf,1526,1440
en,189825,104331
tú,2762,347
vé,629,451
y²,2,1
(l,7,1
öz,1,4
uz,1375,2093
’l,2,1
ая,1,2
mz,3,5
eq,2758,2696
θή,1,2
çô,1,2
9°,2,1
hy,35,32
iv,9929,15725
nz,3132,471
4ª,1,2
vh,1,2
íd,1351,1365
k",7,12
»l,12,1
h8,2,3
а»,4,1
yy,6,1
(e,15,35
rú,93,201
 x,167,844
e8,3,4
yǔ,8,1
ô-,1,6
4º,2,1
rf,725,903
é-,1,69
ed,29673,12346
3d,4,3
çi,1,2
 ;,2,1
 ☭,2,1
ó",3,9
a ,4,23
 p,139104,148067
ńs,3,1
'9,2,1
ok,741,600
:3,109,134
o',15,30
)o,1,3
¡m,557,1
t',3,6
43,13,22
u(,1,2
y»,3,1
nő,2,1
ís,3003,2348
zl,117,4
t-,17,28
gy,7,5
2k,2,2
o​,2,1
ii,87,90
i”,3,26
oá,10,122
:/,3,3
cf,4,4
i_,1,2
m2,1,2
iú,5,167
8b,2,1
u”,1,6
ǀw,2,1
«q,9,2
06,17,26
kk,74,29
<e,2,1
t",30,31
& ,3,3
7h,1,12
xf,15,10
f3,6,7
oà,1,2
2;,2,2
s4,1,2
t:,3,1
¿o,264,1
εu,1,3
é;,6,7
а ,1,3
<s,2,1
17,57,80
«ĉ,2,1
sa,49034,61132
 4,226,211
h5,2,1
że,2,1
"-,44,6
oñ,439,1
sã,10,8565
”",4,45
-ú,4,1
/g,1,2
ło,1,2
éx,521,75
"̉,2,1
pō,2,1
2·,2,2
é),1,3
49,20,21
ôm,1,540
's,21,28
25,69,70
nô,1,176
fk,4,2
i¿,2,1
éu,24,860
8h,1,23
k7,1,2
“z,1,2
áb,1022,752
;),2,1
pé,393,1568
 ḥ,3,1
ê ,1,3
¡z,5,1
çu,2,135
«あ,4,1
o/,7,6
l:,18,31
¿e,3577,1
 ─,5,1
-1,34,39
l ,99386,14368
 ĝ,1,5
a1,7,7
bl,16772,2823
-t,27,648
<n,2,1
24,42,41
/t,2,6
ër,2,1
úq,2,5
$5,3,1
vr,4,5338
īn,2,1
lm,3882,6455
s>,3,1
pv,3,2
öf,2,1
²=,2,1
éz,8,2
gb,19,18
-x,1,3
g",6,7
(j,2,2
 -,265,495
»¡,11,1
"ô,1,8
‘m,2,1
23,37,45
xõ,1,32
 −,1,4
tj,3,2
 р,1,3
ēn,5,1
ąt,1,2
d¹,1,2
xō,12,1
rà,2,2
m/,7,9
iã,1,1899
oč,2,1
yc,6,21
yi,52,9
hé,325,43
6%,4,6
―n,2,1
tã,3,8893
mh,8,3
hr,53,59
`n,2,1
im,18747,27960
5º,2,5
sí,3710,1661
r ,93749,116241
7u,2,1
m—,1,2
jt,2,1
e»,7,1
üs,2,1
yí,2,1
ª ,2,12
